市場,資料日期,排名,代號,名稱,收盤價,漲跌,漲跌幅(%),成交金額(億),幣別,更新時間
美股,2026/09/14,1,NVDA,NVIDIA Corporation,210.96,-7.33,-3.36,278.14,美元,2026/09/15 06:05
美股,2026/09/14,2,MU,"Micron Technology, Inc.",924.03,-51.23,-5.25,249.63,美元,2026/09/15 06:05
美股,2026/09/14,3,SNDK,Sandisk Corporation,1551.99,-81.36,-4.98,148.28,美元,2026/09/15 06:05
美股,2026/09/14,4,AAPL,Apple Inc.,333.08,0.81,0.24,130.63,美元,2026/09/15 06:05
美股,2026/09/14,5,META,"Meta Platforms, Inc.",665.6,17.57,2.71,128.43,美元,2026/09/15 06:05
美股,2026/09/14,6,AMD,"Advanced Micro Devices, Inc.",493.41,-22.72,-4.4,122.17,美元,2026/09/15 06:05
美股,2026/09/14,7,MSFT,Microsoft Corporation,505.41,9.78,1.97,116.57,美元,2026/09/15 06:05
美股,2026/09/14,8,TSLA,"Tesla, Inc.",358.97,-6.47,-1.77,116.24,美元,2026/09/15 06:05
美股,2026/09/14,9,AVGO,Broadcom Inc.,344.72,-17.27,-4.77,112.29,美元,2026/09/15 06:05
美股,2026/09/14,10,SPCX,Space Exploration Technologies Corp,148.15,-3.06,-2.02,100.2,美元,2026/09/15 06:05
美股,2026/09/14,11,INTC,Intel Corporation,97.19,-5.75,-5.59,93.51,美元,2026/09/15 06:05
美股,2026/09/14,12,AMZN,"Amazon.com, Inc.",253.54,-3.24,-1.26,86.91,美元,2026/09/15 06:05
美股,2026/09/14,13,GOOG,Alphabet Inc.,345.71,10.26,3.06,77.56,美元,2026/09/15 06:05
美股,2026/09/14,14,ORCL,Oracle Corporation,144.79,-5.49,-3.65,60.85,美元,2026/09/15 06:05
美股,2026/09/14,15,CRWD,"CrowdStrike Holdings, Inc.",235.38,28.64,13.85,59.64,美元,2026/09/15 06:05
美股,2026/09/14,16,PLTR,Palantir Technologies Inc.,173.31,6.08,3.64,50.44,美元,2026/09/15 06:05
美股,2026/09/14,17,DELL,Dell Technologies Inc.,534.28,-33.01,-5.82,48.88,美元,2026/09/15 06:05
美股,2026/09/14,18,MRVL,"Marvell Technology, Inc.",218.82,-17.28,-7.32,48.43,美元,2026/09/15 06:05
美股,2026/09/14,19,PANW,"Palo Alto Networks, Inc.",373.94,43.29,13.09,44.92,美元,2026/09/15 06:05
美股,2026/09/14,20,LITE,Lumentum Holdings Inc.,835.03,-92,-9.92,40.96,美元,2026/09/15 06:05
日股,2026/09/15,1,285A,Kioxia Holdings Corporation,51750,1160,2.29,15038.81,日圓,2026/09/15 15:05
日股,2026/09/15,2,9984,SoftBank Group Corp.,6279,440,7.54,5056.77,日圓,2026/09/15 15:05
日股,2026/09/15,3,6976,"Taiyo Yuden Co., Ltd.",9197,483,5.54,3170.75,日圓,2026/09/15 15:05
日股,2026/09/15,4,6857,Advantest Corp.,30160,-920,-2.96,2546.77,日圓,2026/09/15 15:05
日股,2026/09/15,5,8035,Tokyo Electron Ltd.,50650,-280,-0.55,1817.47,日圓,2026/09/15 15:05
日股,2026/09/15,6,8306,"Mitsubishi UFJ Financial Group, Inc.",3668,-52,-1.4,1527.18,日圓,2026/09/15 15:05
日股,2026/09/15,7,6981,"Murata Manufacturing Co., Ltd.",7399,232,3.24,1515.55,日圓,2026/09/15 15:05
日股,2026/09/15,8,5803,Fujikura Ltd,4744,-90,-1.86,1493.16,日圓,2026/09/15 15:05
日股,2026/09/15,9,4062,"IBIDEN CO., LTD.",19115,-25,-0.13,1358.5,日圓,2026/09/15 15:05
日股,2026/09/15,10,7011,"Mitsubishi Heavy Industries, Ltd.",3701,-60,-1.6,1336.04,日圓,2026/09/15 15:05
日股,2026/09/15,11,6920,Lasertec Corp.,35590,1110,3.22,1138.88,日圓,2026/09/15 15:05
日股,2026/09/15,12,8316,"Sumitomo Mitsui Financial Group, Inc.",6842,-188,-2.67,900.31,日圓,2026/09/15 15:05
日股,2026/09/15,13,5801,"Furukawa Electric Co., Ltd.",3719,-126,-3.28,853.84,日圓,2026/09/15 15:05
日股,2026/09/15,14,6098,"Recruit Holdings Co., Ltd.",16845,360,2.18,759.31,日圓,2026/09/15 15:05
日股,2026/09/15,15,8411,"Mizuho Financial Group, Inc.",8598,-192,-2.18,732.66,日圓,2026/09/15 15:05
日股,2026/09/15,16,6525,Kokusai Electric Corporation,8228,228,2.85,643.22,日圓,2026/09/15 15:05
日股,2026/09/15,17,7974,"Nintendo Co., Ltd.",8118,-150,-1.81,623.95,日圓,2026/09/15 15:05
日股,2026/09/15,18,7203,Toyota Motor Corp.,3021,-4,-0.13,602.96,日圓,2026/09/15 15:05
日股,2026/09/15,19,6146,Disco Corporation,51400,-30,-0.06,510.2,日圓,2026/09/15 15:05
日股,2026/09/15,20,6203,"Howa Machinery, Ltd.",2476,132,5.63,507.14,日圓,2026/09/15 15:05
