市場,資料日期,排名,代號,名稱,收盤價,漲跌,漲跌幅(%),成交金額(億),幣別,更新時間
美股,2026/09/14,1,NVDA,NVIDIA Corporation,210.96,-7.33,-3.36,278.14,美元,2026/09/15 06:05
美股,2026/09/14,2,MU,"Micron Technology, Inc.",924.03,-51.23,-5.25,249.63,美元,2026/09/15 06:05
美股,2026/09/14,3,SNDK,Sandisk Corporation,1551.99,-81.36,-4.98,148.28,美元,2026/09/15 06:05
美股,2026/09/14,4,AAPL,Apple Inc.,333.08,0.81,0.24,130.63,美元,2026/09/15 06:05
美股,2026/09/14,5,META,"Meta Platforms, Inc.",665.6,17.57,2.71,128.43,美元,2026/09/15 06:05
美股,2026/09/14,6,AMD,"Advanced Micro Devices, Inc.",493.41,-22.72,-4.4,122.17,美元,2026/09/15 06:05
美股,2026/09/14,7,MSFT,Microsoft Corporation,505.41,9.78,1.97,116.57,美元,2026/09/15 06:05
美股,2026/09/14,8,TSLA,"Tesla, Inc.",358.97,-6.47,-1.77,116.24,美元,2026/09/15 06:05
美股,2026/09/14,9,AVGO,Broadcom Inc.,344.72,-17.27,-4.77,112.29,美元,2026/09/15 06:05
美股,2026/09/14,10,SPCX,Space Exploration Technologies Corp,148.15,-3.06,-2.02,100.2,美元,2026/09/15 06:05
美股,2026/09/14,11,INTC,Intel Corporation,97.19,-5.75,-5.59,93.51,美元,2026/09/15 06:05
美股,2026/09/14,12,AMZN,"Amazon.com, Inc.",253.54,-3.24,-1.26,86.91,美元,2026/09/15 06:05
美股,2026/09/14,13,GOOG,Alphabet Inc.,345.71,10.26,3.06,77.56,美元,2026/09/15 06:05
美股,2026/09/14,14,ORCL,Oracle Corporation,144.79,-5.49,-3.65,60.85,美元,2026/09/15 06:05
美股,2026/09/14,15,CRWD,"CrowdStrike Holdings, Inc.",235.38,28.64,13.85,59.64,美元,2026/09/15 06:05
美股,2026/09/14,16,PLTR,Palantir Technologies Inc.,173.31,6.08,3.64,50.44,美元,2026/09/15 06:05
美股,2026/09/14,17,DELL,Dell Technologies Inc.,534.28,-33.01,-5.82,48.88,美元,2026/09/15 06:05
美股,2026/09/14,18,MRVL,"Marvell Technology, Inc.",218.82,-17.28,-7.32,48.43,美元,2026/09/15 06:05
美股,2026/09/14,19,PANW,"Palo Alto Networks, Inc.",373.94,43.29,13.09,44.92,美元,2026/09/15 06:05
美股,2026/09/14,20,LITE,Lumentum Holdings Inc.,835.03,-92,-9.92,40.96,美元,2026/09/15 06:05
日股,2026/09/14,1,285A,Kioxia Holdings Corporation,50590,-3440,-6.37,14435.81,日圓,2026/09/14 15:05
日股,2026/09/14,2,9984,SoftBank Group Corp.,5839,-701,-10.72,3891.96,日圓,2026/09/14 15:05
日股,2026/09/14,3,6857,Advantest Corp.,31080,-640,-2.02,2520.99,日圓,2026/09/14 15:05
日股,2026/09/14,4,6976,"Taiyo Yuden Co., Ltd.",8714,-495,-5.38,2248.52,日圓,2026/09/14 15:05
日股,2026/09/14,5,5803,Fujikura Ltd,4834,-148,-2.97,1710.38,日圓,2026/09/14 15:05
日股,2026/09/14,6,4062,"IBIDEN CO., LTD.",19140,-420,-2.15,1648.41,日圓,2026/09/14 15:05
日股,2026/09/14,7,6981,"Murata Manufacturing Co., Ltd.",7167,-185,-2.52,1515.97,日圓,2026/09/14 15:05
日股,2026/09/14,8,8035,Tokyo Electron Ltd.,50930,-530,-1.03,1384.23,日圓,2026/09/14 15:05
日股,2026/09/14,9,8306,"Mitsubishi UFJ Financial Group, Inc.",3720,59,1.61,1358.37,日圓,2026/09/14 15:05
日股,2026/09/14,10,6920,Lasertec Corp.,34480,-90,-0.26,986.65,日圓,2026/09/14 15:05
日股,2026/09/14,11,5801,"Furukawa Electric Co., Ltd.",3845,-136,-3.42,876.52,日圓,2026/09/14 15:05
日股,2026/09/14,12,6098,"Recruit Holdings Co., Ltd.",16485,985,6.35,872.86,日圓,2026/09/14 15:05
